StaTerr,year,lower.turnover.caseworker,upper.turnover.caseworker,turnover.supervisor
NV,2013,0.240875912,0.248175182,0.120481928
NV,2014,0.019455253,0.206225681,0.346666667
NV,2015,0.185454545,0.203636364,0.053763441
OH,2008,0,0.068610635,0.203007519
OH,2009,0,0.149395509,0.322689076
OH,2010,0,0.145654835,0.373333333
OK,2004,0.094903339,0.166959578,0.118881119
OK,2006,0.210526316,0.272727273,0.23255814
OK,2007,0.194160584,0.262773723,0.216049383
OK,2008,0.187779434,0.25633383,0.247058824
OK,2009,0.259574468,0.314893617,0.26035503
OK,2010,0.204172876,0.274217586,0.216049383
OK,2011,0.196048632,0.272036474,0.226744186
OK,2012,0.172461752,0.282336579,0.221590909
OK,2013,0.15125,0.31,0.215311005
OK,2014,0.158394931,0.257655755,0.261484099
OK,2015,0.279700655,0.383536015,0.277777778
OR,2013,0.055876686,0.159922929,0.165354331
OR,2014,0.12864494,0.231560892,0.171641791
OR,2015,0.174326466,0.250396197,0.263513514
PR,2007,NA,0,NA
PR,2008,NA,0.096858639,NA
PR,2009,NA,0.189153439,NA
PR,2010,NA,0.16626506,NA
PR,2011,NA,0.221668742,NA
PR,2012,NA,0.231824417,NA
PR,2013,NA,0.30952381,NA
PR,2014,NA,0.298171589,NA
PR,2015,NA,0.287878788,NA
RI,2004,0.050847458,0.118644068,0.142857143
RI,2005,0.147540984,0.180327869,0.133333333
RI,2006,0.079365079,0.126984127,0.066666667
RI,2007,0.166666667,0.194444444,0.125
RI,2008,0.086206897,0.086206897,0.066666667
RI,2009,0.107142857,0.125,0
RI,2010,0.078431373,0.117647059,0.133333333
RI,2011,0,0.058823529,0.153846154
RI,2012,0.096153846,0.115384615,0.071428571
RI,2013,0,0.04,0.142857143
RI,2014,0,0.036363636,0.142857143
RI,2015,0.051724138,0.086206897,0.071428571
SC,2004,0.156410256,0.264102564,0.149606299
SC,2005,0.129287599,0.255936675,0.21641791
SC,2006,0.162303665,0.269633508,0.224637681
SC,2007,0.076530612,0.25255102,0.182481752
SC,2008,0.238095238,0.35,0.238095238
SC,2011,0.123115578,0.201005025,0.168918919
SC,2012,0,0.190954774,0.108108108
SC,2013,0.123772102,0.241650295,0.198019802
SC,2014,0.167883212,0.291970803,0.219047619
SC,2015,0.098540146,0.246350365,0.185185185
SD,2004,0.208588957,0.26993865,0.3
SD,2005,0.321212121,0.424242424,0.333333333
SD,2006,0.187919463,0.214765101,0.057142857
SD,2007,0.311594203,0.405797101,0.361111111
SD,2008,0.243697479,0.336134454,0.388888889
SD,2009,0.159663866,0.201680672,0.151515152
SD,2010,0.384615385,0.427350427,0.242424242
SD,2011,0.240384615,0.307692308,0.233333333
SD,2012,0.262626263,0.323232323,0.2
SD,2013,0.355769231,0.413461538,0.3
SD,2014,0.23655914,0.35483871,0.333333333
SD,2015,0.306122449,0.408163265,0.214285714
TN,2006,0.27008547,0.278632479,0.220779221
TN,2007,0.186219739,0.309124767,0.234375
TN,2008,0.190721649,0.25,0.212389381
TN,2009,0.213740458,0.252998909,0.210526316
TN,2011,0.221100917,0.317431193,0.589018303
TN,2013,0.116883117,0.187229437,0.198529412
TN,2014,0.127942682,0.188331627,0.205323194
TX,2004,0.131789474,0.206315789,0.260536398
TX,2007,0.194272446,0.320433437,0.405325444
TX,2008,0.245753524,0.30321648,0.259831461
TX,2009,0.263283379,0.316416894,0.363772455
TX,2010,0.157644477,0.253474762,0.36460177
TX,2011,0.233215548,0.287632509,0.345901639
TX,2012,0.177182685,0.260088041,0.305555556
TX,2013,0.198473282,0.29111728,0.327181208
TX,2014,0.202698028,0.29367001,0.335356601
TX,2015,0.217925107,0.289441375,0.399122807
UT,2004,0.072033898,0.173728814,0.157894737
UT,2005,0.134920635,0.261904762,0.202380952
UT,2006,0.11372549,0.239215686,0.308510638
UT,2007,0.215686275,0.31372549,0.366666667
UT,2008,0.080168776,0.194092827,0.125
UT,2010,0.171052632,0.219298246,0.209876543
UT,2011,0.046082949,0.188940092,0.28
UT,2012,0.056277056,0.207792208,0.256097561
UT,2013,0.146938776,0.244897959,0.263157895
UT,2014,0.129411765,0.231372549,0.326086957
UT,2015,0.075697211,0.211155378,0.247058824
VA,2004,0,0.134796238,0.171102662
VA,2005,0.099184783,0.199728261,0.225352113
VA,2006,0.063002681,0.179624665,0.183150183
VA,2007,0.111395647,0.221510883,0.256227758
VA,2008,0.130876747,0.227445997,0.204460967
VA,2009,0.092664093,0.178893179,0.227272727
VA,2011,0.052767053,0.163449163,0.176691729
VA,2012,0.040942928,0.152605459,0.25
VA,2013,0.112149533,0.230140187,0.204460967
VA,2014,0.110320285,0.245551601,0.173611111
VA,2015,0.11097852,0.225536993,0.227129338
WA,2004,0,0.251107829,0.2
WA,2005,0.225641026,0.408974359,0.20855615
WA,2006,0.091492777,0.353130016,0.279069767
WA,2007,0,0.29015544,0.227390181
WA,2008,0,0.268939394,0.257425743
WA,2010,0.160234899,0.204697987,0.211656442
WA,2011,0.174193548,0.216589862,0.214521452
WA,2012,0.153326905,0.237222758,0.217081851
WA,2013,0.136015326,0.261494253,0.252525253
WA,2014,0.29406308,0.371057514,0.33819242
WA,2015,0.104097453,0.245847176,0.260726073
WI,2006,0.098159509,0.179447853,0.125714286
WI,2007,0.136923077,0.201538462,0.222826087
WI,2008,0.161875946,0.222390318,0.201149425
WI,2009,0.124804992,0.209048362,0.179190751
WI,2010,0.147798742,0.20754717,0.192513369
WI,2011,0.126829268,0.193495935,0.17877095
WI,2012,0.121351767,0.215053763,0.124293785
WI,2013,0.163833076,0.256568779,0.222772277
WI,2014,0.111111111,0.222222222,0.2
WI,2015,0.13671275,0.221198157,0.190697674
WV,2006,0.136752137,0.194444444,0.245283019
WV,2007,0.202959831,0.253699789,0.276190476
WV,2008,0.138528139,0.201298701,0.25
WV,2009,0.175824176,0.204395604,0.19
WV,2010,0.171052632,0.230263158,0.239130435
WV,2011,0.153846154,0.223776224,0.231578947
WV,2012,0.190045249,0.244343891,0.235294118
WV,2013,0.160633484,0.212669683,0.138613861
WY,2004,0.109589041,0.198630137,0.186046512
WY,2005,0.163265306,0.238095238,0.136363636
WY,2006,0.1875,0.24375,0.208333333
WY,2007,0.194805195,0.253246753,0.159090909
WY,2008,0.190789474,0.263157895,0.255813953
WY,2009,0.203821656,0.210191083,0.075
WY,2010,0.188405797,0.231884058,0.216216216
WY,2011,0.078740157,0.118110236,0.142857143
WY,2012,0.135714286,0.207142857,0.228571429
WY,2013,0.102941176,0.191176471,0.081081081
WY,2014,0.160583942,0.204379562,0.159090909
WY,2015,0.242236025,0.260869565,0.186046512
