StaTerr,year,chpov,caseworkers,supervisors,caseworker_capacity,supervisor_capacity,screened_in_reports
MN,2013,176274,627,117,3.5569624561761803,0.6637394056979475,20661
MN,2014,186025,612,116,3.2898803924203737,0.623572100524123,21621
MN,2015,165217,656,122,3.9705357196898623,0.7384228015276878,15936
MO,2004,253884,736,176,2.8989617305541113,0.6932299790455484,55208
MO,2005,262608,837,202,3.187260098702248,0.7692073356485712,53264
MO,2006,267968,773,202,2.8846727967518513,0.7538213518032004,46872
MO,2007,257404,819,262,3.181768737082563,1.0178552003853865,48995
MO,2008,263006,808,231,3.072173258404751,0.8783069587766059,48976
MO,2009,291359,747,218,2.563847349833024,0.7482178343555546,50304
MO,2010,293856,750,239,2.5522704998366548,0.813323532614614,55220
MO,2011,308390,856,272,2.775706086448977,0.8820000648529459,59403
MO,2012,310382,862,265,2.777222905967485,0.8537866242243429,58139
MO,2013,303923,977,339,3.2146300214198993,1.1154141015981023,62523
MO,2014,289287,1064,314,3.6780083446542706,1.0854272746442113,67667
MO,2015,277687,975,287,3.511147442984367,1.0335377601400138,43009
MS,2004,212865,394,81,1.850938388180302,0.38052286660559514,16078
MS,2005,221246,383,81,1.7311047431365991,0.3661083138226228,15729
MS,2006,220128,408,94,1.8534670737025731,0.42702427678441635,16815
MS,2007,221496,477,107,2.153537761404269,0.48307870119550694,17655
MS,2008,222716,520,123,2.334812047630166,0.5522728497279046,19635
MS,2009,230409,551,143,2.391399641507059,0.6206354786488375,19729
MS,2010,240782,591,137,2.454502412971069,0.568979408759791,20449
MS,2011,239159,604,153,2.525516497392948,0.6397417617568228,21369
MS,2012,249060,642,166,2.5776921223801494,0.6665060627961134,22314
MS,2013,246458,699,164,2.8361830413295572,0.665427780798351,22605
MS,2014,220885,697,159,3.1554881499422773,0.7198315865721983,23277
MS,2015,225347,694,154,3.0796948705773763,0.6833905044220691,16613
MT,2004,37636,173,35,4.596662769688597,0.9299606759485599,7654
MT,2005,40453,169,36,4.177687686945344,0.889921637455813,8596
MT,2006,41287,180,38,4.359725821687214,0.9203865623561897,8488
MT,2007,40834,196,40,4.799921633932508,0.9795758436596954,8820
MT,2008,41477,195,42,4.701400776333871,1.0126093979796031,7927
MT,2009,44840,206,42,4.594112399643175,0.936663693131133,7857
MT,2010,46183,188,38,4.070761968689777,0.8228135894160189,7649
MT,2011,45645,205,35,4.491181947639391,0.7667871617920912,7833
MT,2012,45923,229,42,4.986608017768874,0.9145743962720205,7899
MT,2013,45588,243,41,5.330350092129508,0.899359480565061,6597
